desi,dir,oper,veh,tst,tsi,spd,hdg,lat,long,acc,dl,odo,drst,oday,jrn,line,start,loc,stop,route,occu,event,tst_collected
88,1,22,1366,2025-05-18T12:58:11.751Z,1747573091,4.15,33,60.169302,25.018506,-0.23,178,5730,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:11.675688
88,2,22,1359,2025-05-18T12:58:12.251Z,1747573092,3.89,9,60.177635,25.050648,-0.44,69,3900,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:12.194981
88,1,22,1365,2025-05-18T12:58:12.256Z,1747573092,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:12.196777
88,1,22,1366,2025-05-18T12:58:12.751Z,1747573092,4.75,20,60.169337,25.018539,0.6,178,5730,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:12.704735
88,1,22,1365,2025-05-18T12:58:13.255Z,1747573093,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:13.328929
88,2,22,1359,2025-05-18T12:58:13.251Z,1747573093,3.51,9,60.177667,25.050658,-0.37,69,3905,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:13.330176
88,1,22,1366,2025-05-18T12:58:13.751Z,1747573093,5.52,10,60.169382,25.01856,0.77,178,5735,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:13.667959
88,2,22,1359,2025-05-18T12:58:14.251Z,1747573094,3.2,9,60.177697,25.050667,-0.32,69,3910,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:14.186652
88,1,22,1365,2025-05-18T12:58:14.255Z,1747573094,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:14.207390
88,1,22,1366,2025-05-18T12:58:14.751Z,1747573094,6.36,3,60.169436,25.018567,0.84,178,5744,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:14.704845
88,1,22,1365,2025-05-18T12:58:15.256Z,1747573095,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:15.193878
88,2,22,1359,2025-05-18T12:58:15.251Z,1747573095,2.94,9,60.177724,25.050675,-0.26,69,3910,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:15.224316
88,1,22,1366,2025-05-18T12:58:15.751Z,1747573095,6.79,359,60.169497,25.018563,0.42,178,5749,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:15.694954
88,2,22,1359,2025-05-18T12:58:16.250Z,1747573096,2.72,9,60.177749,25.050683,-0.22,69,3915,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:16.402122
88,1,22,1365,2025-05-18T12:58:16.256Z,1747573096,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:16.403719
88,1,22,1366,2025-05-18T12:58:16.751Z,1747573096,7.02,358,60.169559,25.018555,0.23,178,5754,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:16.676878
88,1,22,1365,2025-05-18T12:58:17.255Z,1747573097,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:17.323957
88,2,22,1359,2025-05-18T12:58:17.251Z,1747573097,2.53,9,60.177772,25.05069,-0.19,69,3915,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:17.325761
88,1,22,1366,2025-05-18T12:58:17.751Z,1747573097,7.18,359,60.169623,25.018547,0.16,178,5764,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:17.744615
88,1,22,1365,2025-05-18T12:58:18.256Z,1747573098,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:18.193333
88,2,22,1359,2025-05-18T12:58:18.251Z,1747573098,2.35,9,60.177794,25.050697,-0.18,69,3920,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:18.227011
88,1,22,1366,2025-05-18T12:58:18.750Z,1747573098,7.33,3,60.169688,25.018548,0.15,178,5769,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:18.711806
88,1,22,1365,2025-05-18T12:58:19.256Z,1747573099,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:19.334643
88,2,22,1359,2025-05-18T12:58:19.258Z,1747573099,2.18,9,60.177814,25.050703,-0.17,69,3920,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:19.336489
88,1,22,1366,2025-05-18T12:58:19.751Z,1747573099,7.49,9,60.169755,25.018559,0.17,178,5774,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:19.704730
88,1,22,1365,2025-05-18T12:58:20.256Z,1747573100,0.0,52,60.195081,25.030849,0.0,,,1,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:20.224773
88,2,22,1359,2025-05-18T12:58:20.258Z,1747573100,2.0,9,60.177832,25.050709,-0.17,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:20.228946
88,1,22,1366,2025-05-18T12:58:20.751Z,1747573100,7.66,12,60.169825,25.018569,0.17,178,5784,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:20.798258
88,1,22,1365,2025-05-18T12:58:21.256Z,1747573101,0.0,52,60.195081,25.030849,0.0,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:21.189939
88,2,22,1359,2025-05-18T12:58:21.251Z,1747573101,1.83,9,60.177849,25.050714,-0.17,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:21.255087
88,1,22,1366,2025-05-18T12:58:21.751Z,1747573101,7.96,9,60.169896,25.018573,0.29,178,5789,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:21.931298
88,1,22,1365,2025-05-18T12:58:22.256Z,1747573102,0.0,52,60.195081,25.030849,0.0,,,0,2025-05-18,298,123,16:03,GPS,,1088,0,VP,2025-05-18T15:58:22.204358
88,2,22,1359,2025-05-18T12:58:22.250Z,1747573102,1.38,9,60.177864,25.050719,-0.45,69,3925,0,2025-05-18,862,123,15:46,GPS,,1088,0,VP,2025-05-18T15:58:22.205800
88,1,22,1366,2025-05-18T12:58:22.751Z,1747573102,8.1,2,60.169969,25.018566,0.15,178,5799,0,2025-05-18,286,123,15:43,GPS,,1088,0,VP,2025-05-18T15:58:22.712528
